latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-25.91,131.329,325.9,2.1,1.4,2018-10-17,0100,T,60,6.0NRT,309.6,27.2,D
-25.922,131.326,330.2,2.1,1.4,2018-10-17,0100,T,75,6.0NRT,307.9,41.2,D
-25.91,131.322,325.8,2.1,1.4,2018-10-17,0100,T,54,6.0NRT,310.5,25.3,D
-25.922,131.319,330.9,2.1,1.4,2018-10-17,0100,T,73,6.0NRT,308.3,43.1,D
-25.981,131.284,346.8,2.1,1.4,2018-10-17,0100,T,92,6.0NRT,308.9,123,D
-26.027,129.139,321.4,2.9,1.6,2018-10-17,0100,T,49,6.0NRT,308.6,29.5,D
-26.033,129.168,321.7,2.9,1.6,2018-10-17,0100,T,46,6.0NRT,309.6,30.4,D
-26.033,129.161,323.5,2.9,1.6,2018-10-17,0100,T,49,6.0NRT,309.4,37.6,D
-26.44,127.261,325.1,3.8,1.8,2018-10-17,0100,T,71,6.0NRT,306.8,80.9,D
-26.448,127.299,321.5,3.8,1.8,2018-10-17,0100,T,56,6.0NRT,308.2,53.9,D
-26.429,127.258,322.1,3.8,1.8,2018-10-17,0100,T,54,6.0NRT,306.7,58.1,D
-26.438,127.296,322.2,3.8,1.8,2018-10-17,0100,T,55,6.0NRT,308.5,59.5,D
-26.875,128.398,324.9,3.1,1.7,2018-10-17,0100,T,65,6.0NRT,306.8,60.2,D
-26.898,128.359,348.9,3.1,1.7,2018-10-17,0100,T,94,6.0NRT,306.1,252.6,D
-26.913,128.355,327.5,3.1,1.7,2018-10-17,0100,T,51,6.0NRT,304.5,71.8,D
-26.92,128.386,338.7,3.1,1.7,2018-10-17,0100,T,87,6.0NRT,306.6,148.7,D
-26.964,128.599,331.5,3,1.7,2018-10-17,0100,T,80,6.0NRT,304.8,94,D
-26.872,128.392,322.2,3.1,1.7,2018-10-17,0100,T,38,6.0NRT,306.9,43,D
-26.895,128.354,341.2,3.1,1.7,2018-10-17,0100,T,89,6.0NRT,305.6,176.9,D
-26.902,128.385,328.3,3.1,1.7,2018-10-17,0100,T,58,6.0NRT,307.8,74.2,D
-26.917,128.381,338.5,3.1,1.7,2018-10-17,0100,T,86,6.0NRT,306.5,148.9,D
-26.963,128.593,329,3,1.7,2018-10-17,0100,T,77,6.0NRT,304.7,80,D
-26.94,128.342,334,3.1,1.7,2018-10-17,0100,T,77,6.0NRT,305.3,122.8,D
-26.947,128.373,327.4,3.1,1.7,2018-10-17,0100,T,52,6.0NRT,307.8,71.4,D
-26.955,128.338,328.6,3.1,1.7,2018-10-17,0100,T,57,6.0NRT,303.3,84.3,D
-26.962,128.369,337.2,3.1,1.7,2018-10-17,0100,T,85,6.0NRT,306.4,141,D
-26.976,128.365,333.5,3.1,1.7,2018-10-17,0100,T,80,6.0NRT,305.8,114.1,D
-26.973,128.359,336.1,3.1,1.7,2018-10-17,0100,T,85,6.0NRT,305.3,136.3,D
-26.98,128.39,323.4,3.1,1.7,2018-10-17,0100,T,53,6.0NRT,306.5,45.5,D
-27.081,128.491,320.7,3,1.7,2018-10-17,0100,T,50,6.0NRT,304.6,37.3,D
-27.087,128.521,330.4,3,1.7,2018-10-17,0100,T,79,6.0NRT,304.6,93.2,D
