latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
50.49001,4.19602,296.6,0.46,0.47,2018-10-19,0112,N,nominal,1.0NRT,282.1,1,N
50.47338,3.98953,316,0.47,0.48,2018-10-19,0112,N,nominal,1.0NRT,284.4,2.8,N
50.47049,3.99027,318.3,0.47,0.48,2018-10-19,0112,N,nominal,1.0NRT,283.5,2.1,N
48.45648,17.19036,304.5,0.44,0.39,2018-10-19,0112,N,nominal,1.0NRT,281.4,1.2,N
49.5226,5.90209,319.6,0.57,0.43,2018-10-19,0112,N,nominal,1.0NRT,280.7,3,N
47.98523,16.6057,299.6,0.43,0.38,2018-10-19,0112,N,nominal,1.0NRT,281.8,1,N
49.46457,6.00362,299.8,0.57,0.43,2018-10-19,0112,N,nominal,1.0NRT,281.5,1.4,N
49.3593,6.7481,320.4,0.53,0.42,2018-10-19,0112,N,nominal,1.0NRT,283.4,3.1,N
49.35545,6.74718,307.9,0.53,0.42,2018-10-19,0112,N,nominal,1.0NRT,283.8,2.3,N
48.28231,14.33024,298.4,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,283.4,1,N
48.28053,14.34061,300.9,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,283,1,N
48.27726,14.33935,333.1,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,287,4.3,N
48.27814,14.33417,306,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,283.4,4.3,N
48.27399,14.33809,347.9,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,285.2,4.3,N
48.27576,14.32773,309.4,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,285.2,1.4,N
48.27487,14.33291,303.4,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,282.3,4.3,N
48.27248,14.32647,316.5,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,281.7,1.9,N
48.26089,14.33307,317.1,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,281.4,2,N
49.31897,6.14657,296.5,0.56,0.43,2018-10-19,0112,N,nominal,1.0NRT,282,0.9,N
49.24592,6.84897,328.4,0.52,0.42,2018-10-19,0112,N,nominal,1.0NRT,283.2,5.1,N
48.77737,10.70208,326.9,0.4,0.37,2018-10-19,0112,N,nominal,1.0NRT,282.4,2.6,N
48.65403,10.16419,296.9,0.41,0.37,2018-10-19,0112,N,nominal,1.0NRT,280,0.4,N
49.47802,0.55562,301.3,0.33,0.55,2018-10-19,0112,N,nominal,1.0NRT,284.2,1,N
46.93599,18.95018,304.2,0.54,0.42,2018-10-19,0112,N,nominal,1.0NRT,280.8,2.6,N
47.92245,13.77872,306,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,280.6,1.4,N
48.69085,6.96918,300.2,0.51,0.41,2018-10-19,0112,N,nominal,1.0NRT,280.8,1.2,N
48.36829,9.73395,312.1,0.42,0.38,2018-10-19,0112,N,nominal,1.0NRT,281.4,1.6,N
45.12296,25.42079,301.9,0.38,0.59,2018-10-19,0112,N,nominal,1.0NRT,278.5,1.1,N
48.33261,9.73519,310.2,0.42,0.38,2018-10-19,0112,N,nominal,1.0NRT,280.6,0.9,N
48.60946,6.11441,310.4,0.55,0.43,2018-10-19,0112,N,nominal,1.0NRT,283.7,1.6,N
47.79197,12.18152,305.5,0.38,0.36,2018-10-19,0112,N,nominal,1.0NRT,281.2,1.5,N
44.73821,23.57755,299.2,0.32,0.55,2018-10-19,0112,N,nominal,1.0NRT,278.3,0.5,N
47.17531,7.56212,312.5,0.47,0.4,2018-10-19,0112,N,nominal,1.0NRT,282.3,1.9,N
47.06819,8.26742,302.5,0.45,0.39,2018-10-19,0112,N,nominal,1.0NRT,281,1,N
